station_name,agency,latitude,longitude,nearest_hydrant_ft,nearest_hydrant_miles,hydrants_within_500ft,hydrants_within_1000ft,hydrants_within_quarter_mile,avg_distance_10_nearest_ft,coverage_rating
"1","SAC",38.573436,-121.501321,267.5,0.051,16,78,119,313.3,Good
"2","SAC",38.580738,-121.489024,130.2,0.025,11,62,108,386.3,Excellent
"3","SAC",38.685028,-121.626154,8478.9,1.606,0,0,0,8814.2,Needs Attention
"4","SAC",38.571085,-121.464869,89.1,0.017,11,42,80,265.6,Excellent
"5","SAC",38.565136,-121.503568,129.1,0.024,4,20,37,537.5,Excellent
"7","SAC",38.468291,-121.426959,88.1,0.017,12,56,89,292.6,Excellent
"8","SAC",38.567789,-121.427823,279.3,0.053,3,16,23,545.1,Good
"10","SAC",38.523871,-121.426450,219.6,0.042,10,39,55,332.4,Good
"11","SAC",38.497794,-121.531141,62.0,0.012,18,64,105,184.1,Excellent
"12","SAC",38.534014,-121.483494,136.5,0.026,5,24,56,416.6,Excellent
"14","SAC",38.591196,-121.482702,88.3,0.017,8,38,68,361.7,Excellent
"16","SAC",38.490894,-121.479271,190.4,0.036,8,29,54,419.0,Excellent
"17","SAC",38.647714,-121.435340,131.4,0.025,7,19,32,406.5,Excellent
"18","SAC",38.646991,-121.479845,1203.2,0.228,0,0,4,1306.3,Needs Attention
"19","SAC",38.596133,-121.427561,173.5,0.033,7,17,32,400.6,Excellent
"20","SAC",38.613281,-121.447653,77.6,0.015,11,33,56,337.7,Excellent
"21","METRO",38.679181,-121.283432,434.1,0.082,1,2,3,4841.3,Good
"22","METRO",38.679901,-121.211041,2415.1,0.457,0,0,0,9068.9,Needs Attention
"23","METRO",38.678683,-121.315514,173.8,0.033,1,1,4,1542.7,Excellent
"24","METRO",38.655362,-121.349871,2825.1,0.535,0,0,0,4364.8,Needs Attention
"26","METRO",38.713370,-121.358385,4579.6,0.867,0,0,0,8055.4,Needs Attention
"27","METRO",38.710395,-121.292341,4696.5,0.889,0,0,0,8978.7,Needs Attention
"28","METRO",38.700719,-121.257811,7932.0,1.502,0,0,0,9110.9,Needs Attention
"31","METRO",38.641709,-121.271160,5110.1,0.968,0,0,0,5400.0,Needs Attention
"32","METRO",38.656587,-121.225994,4743.3,0.898,0,0,0,7794.4,Needs Attention
"35","FOLSOM",38.668446,-121.165831,2150.2,0.407,0,0,0,3086.5,Needs Attention
"38","FOLSOM",38.677113,-121.136716,4300.7,0.815,0,0,0,4483.6,Needs Attention
"41","METRO",38.692517,-121.375722,1352.8,0.256,0,0,0,6457.5,Needs Attention
"42","METRO",38.670145,-121.382260,773.6,0.147,0,1,2,6578.8,Needs Attention
"45","COSUMNES",38.253256,-121.304035,2580.7,0.489,0,0,0,3248.1,Needs Attention
"50","METRO",38.480997,-121.374097,200.2,0.038,9,26,31,379.5,Good
"51","METRO",38.459648,-121.403657,1696.8,0.321,0,0,0,2026.9,Needs Attention
"53","METRO",38.487293,-121.424034,2787.9,0.528,0,0,0,2923.1,Needs Attention
"54","METRO",38.545887,-121.372061,253.9,0.048,1,7,13,849.1,Good
"55","METRO",38.475351,-121.298459,7249.4,1.373,0,0,0,9110.5,Needs Attention
"56","SAC",38.509945,-121.465671,135.9,0.026,1,3,4,1631.2,Excellent
"57","SAC",38.485448,-121.453972,150.9,0.029,3,25,40,527.2,Excellent
"58","METRO",38.494638,-121.210862,8500.4,1.610,0,0,0,12029.3,Needs Attention
"59","METRO",38.495976,-121.099431,11529.5,2.184,0,0,0,31527.5,Needs Attention
"60","SAC",38.548737,-121.392960,15.1,0.003,5,27,46,392.0,Excellent
"61","METRO",38.593223,-121.295330,531.3,0.101,0,18,35,602.4,Needs Attention
"63","METRO",38.629270,-121.216992,146.0,0.028,5,16,27,521.4,Excellent
"64","METRO",38.563419,-121.358951,643.3,0.122,0,1,1,1362.2,Needs Attention
"65","METRO",38.619240,-121.265657,295.9,0.056,3,14,18,543.9,Good
"66","METRO",38.587515,-121.271078,192.8,0.037,5,23,71,479.3,Excellent
"71","COSUMNES",38.408404,-121.377930,286.1,0.054,11,43,63,361.5,Good
"72","COSUMNES",38.392769,-121.437237,378.6,0.072,1,3,9,1027.4,Good
"81","WILTON",38.401346,-121.257989,952.5,0.180,0,1,1,6327.6,Needs Attention
"83","WILTON",38.442589,-121.188360,5064.0,0.959,0,0,0,8883.2,Needs Attention
"87","HERALD",38.293541,-121.241386,4194.1,0.794,0,0,0,10492.9,Needs Attention
"88","HERALD",38.334724,-121.160188,4973.5,0.942,0,0,0,13128.4,Needs Attention
"91","COURTLAND",38.328661,-121.570414,874.7,0.166,0,1,1,19252.6,Needs Attention
"96","WALNUT GROVE",38.241690,-121.512358,101.6,0.019,12,25,28,250.1,Excellent
"101","METRO",38.620348,-121.401211,30.4,0.006,5,10,15,499.6,Excellent
"102","METRO",38.617832,-121.359634,2596.4,0.492,0,0,0,7207.4,Needs Attention
"103","METRO",38.635057,-121.382646,56.1,0.011,5,13,16,461.6,Excellent
"105","METRO",38.581695,-121.399350,2964.8,0.562,0,0,0,3213.1,Needs Attention
"106","METRO",38.606652,-121.385128,3861.3,0.731,0,0,0,4888.0,Needs Attention
"108","METRO",38.649270,-121.308082,3370.0,0.638,0,0,0,3954.7,Needs Attention
"109","METRO",38.620354,-121.333235,2149.6,0.407,0,0,0,5686.2,Needs Attention
"112","METRO",38.690770,-121.387785,1891.1,0.358,0,0,0,7898.5,Needs Attention
"117","METRO",38.714155,-121.419147,8989.6,1.703,0,0,0,13898.3,Needs Attention
"73","COSUMNES",38.423928,-121.339108,282.1,0.053,8,24,48,466.3,Good
"75","COSUMNES",38.415389,-121.481768,138.2,0.026,11,44,65,362.5,Excellent
"76","COSUMNES",38.438595,-121.387662,54.2,0.010,22,56,92,194.6,Excellent
"37","FOLSOM",38.655598,-121.129896,190.3,0.036,3,4,5,1322.1,Excellent
"114","METRO",38.673343,-121.396991,4313.2,0.817,0,0,0,6353.3,Needs Attention
"115","METRO",38.653847,-121.411227,2367.8,0.448,0,0,0,2674.9,Needs Attention
"30","SAC",38.671080,-121.503872,173.1,0.033,9,52,77,332.4,Excellent
"25","METRO",38.700592,-121.331272,6185.6,1.172,0,0,0,7513.3,Needs Attention
"36","FOLSOM",38.696803,-121.184571,5467.4,1.035,0,0,0,7259.7,Needs Attention
"13","SAC",38.516496,-121.518396,127.0,0.024,15,37,49,212.1,Excellent
"74","COSUMNES",38.418705,-121.428683,142.0,0.027,10,45,88,381.9,Excellent
"110","METRO",38.591394,-121.364245,3141.8,0.595,0,0,0,7126.7,Needs Attention
"68","METRO",38.545184,-121.240080,308.7,0.058,4,28,60,476.9,Good
"46","COSUMNES",38.279864,-121.289077,1851.0,0.351,0,0,0,2978.4,Needs Attention
"94","RIVER DELTA",38.142152,-121.623915,6588.3,1.248,0,0,0,12727.5,Needs Attention
"93","ISLETON",38.161592,-121.612652,5411.1,1.025,0,0,0,9582.1,Needs Attention
"43","SAC",38.644808,-121.540426,165.8,0.031,18,50,64,257.3,Excellent
"39","FOLSOM ",38.666328,-121.097906,1588.6,0.301,0,0,0,3215.5,Needs Attention
"116","METRO",38.714370,-121.466835,6493.9,1.230,0,0,0,13062.1,Needs Attention
"15","SAC",38.612176,-121.500206,166.2,0.031,9,38,55,326.0,Excellent
"92","COURTLAND",38.366586,-121.513022,109.7,0.021,5,7,8,1623.8,Excellent
"29","METRO",38.679609,-121.237263,6143.5,1.164,0,0,0,12210.4,Needs Attention
"84","WILTON",38.370067,-121.222811,2124.6,0.402,0,0,0,7883.1,Needs Attention
"95","WALNUT GROVE",38.246069,-121.513082,82.9,0.016,3,18,26,595.0,Excellent
"111","METRO",38.687794,-121.457685,6727.6,1.274,0,0,0,8605.1,Needs Attention
"98","AIRPORT ",38.699619,-121.590663,2183.9,0.414,0,0,0,2843.7,Needs Attention
"62","METRO",38.555304,-121.337103,248.0,0.047,2,12,14,590.1,Good
"97","METRO",38.558963,-121.306528,2060.7,0.390,0,0,0,2569.3,Needs Attention